#Thermo information
#TimeStep Temp PE KE
244 11.0492 -56.2871 1.021
245 11.1098 -56.2892 1.0266
246 11.1718 -56.2914 1.03234
247 11.2351 -56.2938 1.03818
248 11.2994 -56.2963 1.04413
249 11.3647 -56.2988 1.05015
250 11.4306 -56.3014 1.05625
251 11.4972 -56.3041 1.0624
252 11.5641 -56.3069 1.06858
253 11.6312 -56.3097 1.07478
254 11.6984 -56.3125 1.08099
255 11.7654 -56.3153 1.08718
256 11.8321 -56.3182 1.09335
257 11.8984 -56.321 1.09947
258 11.9639 -56.3237 1.10553
259 12.0286 -56.3265 1.1115
260 12.0923 -56.3291 1.11739
261 12.1547 -56.3317 1.12316
262 12.2158 -56.3343 1.1288
263 12.2753 -56.3367 1.1343
264 12.3331 -56.339 1.13964
265 12.389 -56.3411 1.1448
266 12.4429 -56.3432 1.14978
267 12.4946 -56.345 1.15456
268 12.544 -56.3468 1.15913
269 12.591 -56.3483 1.16347
270 12.6354 -56.3497 1.16758
271 12.6771 -56.3509 1.17143
272 12.7159 -56.3519 1.17502
273 12.7518 -56.3527 1.17833
274 12.7846 -56.3532 1.18136
275 12.8142 -56.3536 1.1841
276 12.8407 -56.3537 1.18654
277 12.8638 -56.3536 1.18868
278 12.8835 -56.3532 1.1905
279 12.8998 -56.3526 1.19201
280 12.9126 -56.3517 1.19319
281 12.9218 -56.3506 1.19404
282 12.9274 -56.3492 1.19456
283 12.9295 -56.3476 1.19475
284 12.9279 -56.3457 1.1946
285 12.9227 -56.3436 1.19412
286 12.9139 -56.3412 1.19331
287 12.9015 -56.3385 1.19217
288 12.8856 -56.3356 1.1907
289 12.8662 -56.3325 1.1889
290 12.8432 -56.329 1.18678
291 12.8169 -56.3254 1.18435
292 12.7873 -56.3215 1.18161
293 12.7544 -56.3174 1.17857
294 12.7183 -56.3131 1.17523
295 12.6791 -56.3085 1.17161
296 12.6369 -56.3037 1.16772
297 12.5919 -56.2988 1.16355
298 12.5441 -56.2936 1.15914
299 12.4937 -56.2883 1.15448
300 12.4408 -56.2828 1.14959
301 12.3856 -56.2772 1.14449
302 12.3282 -56.2714 1.13919
303 12.2687 -56.2654 1.13369
304 12.2074 -56.2594 1.12802
305 12.1443 -56.2532 1.1222
306 12.0797 -56.247 1.11623
307 12.0139 -56.2407 1.11014
308 11.9468 -56.2343 1.10395
309 11.8788 -56.2279 1.09766
310 11.81 -56.2214 1.0913
311 11.7405 -56.2149 1.08488
312 11.6705 -56.2085 1.07841
313 11.6003 -56.202 1.07192
314 11.53 -56.1955 1.06543
315 11.4597 -56.1891 1.05894
316 11.3898 -56.1828 1.05248
317 11.3204 -56.1765 1.04606
318 11.2516 -56.1703 1.0397
319 11.1837 -56.1642 1.03343
320 11.1167 -56.1583 1.02724
321 11.051 -56.1524 1.02117
322 10.9868 -56.1467 1.01523
323 10.924 -56.1412 1.00943
324 10.863 -56.1359 1.00379
325 10.8037 -56.1307 0.998321
326 10.7465 -56.1258 0.993036
327 10.6915 -56.121 0.987954
328 10.6388 -56.1165 0.983084
329 10.5885 -56.1122 0.978434
330 10.5407 -56.1081 0.974015
331 10.4955 -56.1044 0.969838
332 10.4531 -56.1008 0.965919
333 10.4136 -56.0976 0.962268
334 10.377 -56.0946 0.958889
335 10.3435 -56.0919 0.955788
336 10.313 -56.0895 0.952972
337 10.2857 -56.0874 0.950447
338 10.2615 -56.0856 0.948218
339 10.2407 -56.0841 0.946292
340 10.2232 -56.0829 0.944671
341 10.209 -56.082 0.943364
342 10.1983 -56.0815 0.942373
343 10.1909 -56.0812 0.941696
344 10.187 -56.0813 0.941333
345 10.1865 -56.0817 0.941286
346 10.1894 -56.0825 0.941553
347 10.1957 -56.0835 0.942134
348 10.2054 -56.0849 0.943027
349 10.2183 -56.0865 0.944228
350 10.2347 -56.0885 0.945734
351 10.2542 -56.0908 0.947545
352 10.2771 -56.0934 0.949656
353 10.3031 -56.0963 0.952063
354 10.3323 -56.0996 0.954759
355 10.3645 -56.1031 0.957734
356 10.3996 -56.1068 0.96098
357 10.4376 -56.1109 0.964489
358 10.4783 -56.1152 0.968253
359 10.5217 -56.1198 0.972262
360 10.5677 -56.1246 0.976508
361 10.6161 -56.1297 0.98098
362 10.6668 -56.135 0.985667
363 10.7197 -56.1405 0.990557
364 10.7747 -56.1463 0.995641
365 10.8317 -56.1522 1.00091
366 10.8906 -56.1584 1.00635
367 10.9512 -56.1647 1.01194
368 11.0133 -56.1712 1.01768
369 11.0768 -56.1778 1.02355
370 11.1416 -56.1846 1.02954
371 11.2075 -56.1916 1.03563
372 11.2743 -56.1986 1.04181
373 11.3419 -56.2058 1.04805
374 11.4101 -56.2131 1.05435
375 11.4787 -56.2204 1.06069
376 11.5476 -56.2278 1.06706
377 11.6166 -56.2353 1.07343
378 11.6855 -56.2428 1.0798
379 11.7542 -56.2504 1.08615
380 11.8225 -56.2579 1.09246
381 11.8901 -56.2655 1.09871
382 11.957 -56.273 1.10489
383 12.023 -56.2806 1.11099
384 12.0878 -56.288 1.11698
385 12.1514 -56.2955 1.12285
386 12.2135 -56.3028 1.12859
387 12.2739 -56.3101 1.13417
388 12.3326 -56.3173 1.1396
389 12.3893 -56.3244 1.14484
390 12.4439 -56.3314 1.14988
391 12.4962 -56.3382 1.15471
392 12.5461 -56.3449 1.15932
393 12.5934 -56.3515 1.1637
394 12.6381 -56.3579 1.16782
395 12.6798 -56.3641 1.17168
396 12.7186 -56.3702 1.17527
397 12.7542 -56.376 1.17856
398 12.7867 -56.3817 1.18156
399 12.8158 -56.3871 1.18425
400 12.8415 -56.3924 1.18662
401 12.8636 -56.3974 1.18866
402 12.882 -56.4021 1.19036
403 12.8967 -56.4066 1.19172
404 12.9075 -56.4109 1.19272
405 12.9144 -56.4149 1.19336
406 12.9174 -56.4187 1.19363
407 12.9163 -56.4222 1.19354
408 12.9112 -56.4254 1.19306
409 12.9019 -56.4284 1.1922
410 12.8885 -56.4311 1.19096
411 12.871 -56.4335 1.18934
412 12.8493 -56.4356 1.18734
413 12.8235 -56.4375 1.18496
414 12.7936 -56.4391 1.18219
415 12.7596 -56.4404 1.17906
416 12.7217 -56.4414 1.17555
417 12.6797 -56.4422 1.17167
418 12.6339 -56.4427 1.16743
419 12.5842 -56.4429 1.16285
420 12.5309 -56.4429 1.15792
421 12.4739 -56.4426 1.15265
422 12.4133 -56.4421 1.14705
423 12.3494 -56.4414 1.14114
424 12.2821 -56.4404 1.13493
425 12.2117 -56.4392 1.12842
426 12.1382 -56.4378 1.12163
427 12.0619 -56.4362 1.11458
428 11.9829 -56.4344 1.10728
429 11.9014 -56.4324 1.09975
430 11.8175 -56.4302 1.092
431 11.7315 -56.4279 1.08405
432 11.6435 -56.4254 1.07592
433 11.5537 -56.4228 1.06762
434 11.4623 -56.42 1.05917
435 11.3696 -56.4172 1.0506
436 11.2757 -56.4142 1.04193
437 11.1808 -56.4112 1.03316
438 11.0852 -56.408 1.02432
439 10.9889 -56.4048 1.01544
440 10.8924 -56.4016 1.00652
441 10.7959 -56.3984 0.997594
442 10.6994 -56.3951 0.988682
443 10.6032 -56.3918 0.979794
444 10.5075 -56.3885 0.970949
445 10.4125 -56.3852 0.962165
446 10.3183 -56.382 0.953461
447 10.2251 -56.3788 0.944855
448 10.1332 -56.3757 0.936363
449 10.0428 -56.3726 0.928003
450 9.95392 -56.3696 0.919793
451 9.86682 -56.3667 0.911745
452 9.78164 -56.3639 0.903873
453 9.69852 -56.3612 0.896193
454 9.61761 -56.3586 0.888716
455 9.53905 -56.3562 0.881457
456 9.46297 -56.3539 0.874427
457 9.38951 -56.3517 0.867639
458 9.3188 -56.3497 0.861105
459 9.25091 -56.3479 0.854832
460 9.18595 -56.3463 0.848829
461 9.124 -56.3448 0.843105
462 9.06516 -56.3435 0.837667
463 9.00948 -56.3424 0.832522
464 8.95705 -56.3416 0.827677
465 8.9079 -56.3409 0.823136
466 8.86215 -56.3404 0.818908
467 8.81983 -56.3402 0.814997
468 8.78093 -56.3402 0.811402
469 8.74548 -56.3404 0.808127
470 8.7135 -56.3408 0.805172
471 8.685 -56.3415 0.802538
472 8.66003 -56.3424 0.800231
473 8.63858 -56.3435 0.798249
474 8.62062 -56.3448 0.796589
475 8.60612 -56.3464 0.795249
476 8.59506 -56.3482 0.794227
477 8.58741 -56.3503 0.79352
478 8.58314 -56.3526 0.793126
479 8.58221 -56.3551 0.79304
480 8.58457 -56.3578 0.793258
481 8.59017 -56.3607 0.793775
482 8.59895 -56.3639 0.794587
483 8.61086 -56.3673 0.795688
484 8.62582 -56.3708 0.79707
485 8.64377 -56.3746 0.798728
486 8.66465 -56.3786 0.800658
487 8.68839 -56.3828 0.802851
488 8.71486 -56.3872 0.805298
489 8.74398 -56.3917 0.807988
490 8.77565 -56.3964 0.810915
491 8.80979 -56.4013 0.814069
492 8.84627 -56.4064 0.817441
493 8.88501 -56.4116 0.82102
494 8.92589 -56.417 0.824798
495 8.96881 -56.4224 0.828764
496 9.01364 -56.4281 0.832907
497 9.06029 -56.4338 0.837217
498 9.10861 -56.4396 0.841683
499 9.15851 -56.4456 0.846293
500 9.20985 -56.4516 0.851037
501 9.2625 -56.4578 0.855903
502 9.31635 -56.4639 0.860879
503 9.37127 -56.4702 0.865953
504 9.42712 -56.4765 0.871114
505 9.48378 -56.4829 0.87635
506 9.54116 -56.4892 0.881652
507 9.59913 -56.4956 0.887009
508 9.65752 -56.5021 0.892404
509 9.71619 -56.5085 0.897826
510 9.77502 -56.5149 0.903262
511 9.83388 -56.5213 0.908701
512 9.89263 -56.5276 0.91413
513 9.95115 -56.534 0.919537
514 10.0093 -56.5402 0.924911
515 10.067 -56.5464 0.930239
516 10.124 -56.5526 0.935511
517 10.1803 -56.5586 0.940714
518 10.2358 -56.5646 0.945838
519 10.2902 -56.5705 0.950871
520 10.3436 -56.5762 0.955802
521 10.3958 -56.5818 0.960622
522 10.4466 -56.5873 0.96532
523 10.496 -56.5927 0.969885
524 10.5439 -56.5979 0.974313
525 10.5903 -56.603 0.978595
526 10.6349 -56.6079 0.982717
527 10.6777 -56.6127 0.986671
528 10.7186 -56.6172 0.990449
529 10.7574 -56.6216 0.994043
530 10.7943 -56.6258 0.997446
531 10.829 -56.6298 1.00065
532 10.8614 -56.6336 1.00365
